5.64V,9.03A
6.69V,8.08A
6.34V,9.31A
5.26V,9.50A
5.23V,10.63A
4.66V,9.95A
5.48V,9.01A
5.72V,8.60A
6.96V,9.00A
5.96V,9.19A
4.59V,10.28A
4.66V,9.89A
5.26V,9.20A
5.69V,8.82A
6.82V,8.43A
6.08V,9.85A
5.17V,10.43A
4.10V,10.02A
4.43V,9.74A
5.69V,8.56A
5.95V,8.52A
6.83V,8.81A
5.27V,10.11A
4.66V,10.93A
4.33V,9.99A
5.79V,9.23A
5.98V,8.41A
6.61V,8.82A
5.85V,10.22A
4.69V,10.38A
4.85V,10.18A
5.21V,9.05A
6.42V,8.35A
6.55V,8.56A
5.83V,9.13A
5.01V,10.58A
4.94V,10.87A
5.00V,9.33A
5.40V,9.00A
6.08V,8.95A
6.18V,8.81A
5.46V,10.52A
4.22V,10.17A
4.43V,9.84A
5.72V,8.99A
6.11V,8.21A
6.43V,8.65A
5.58V,9.46A
5.21V,10.11A
4.97V,9.79A
5.43V,9.09A
6.04V,9.00A
6.48V,8.48A
5.98V,9.82A
4.63V,10.27A
4.73V,10.80A
4.50V,9.48A
6.26V,8.60A
6.36V,8.64A
6.26V,9.90A
5.19V,10.45A
4.36V,10.53A
5.15V,9.27A
5.92V,8.83A
6.13V,8.16A
5.96V,9.55A
5.59V,9.66A
4.96V,10.58A
4.52V,10.31A
5.18V,8.86A
6.30V,8.58A
6.69V,8.94A
6.15V,10.07A
4.56V,10.52A
4.47V,10.09A
5.17V,8.86A
6.10V,8.30A
6.38V,9.18A
6.01V,9.97A
5.05V,10.19A
4.96V,10.37A
4.64V,9.62A
6.05V,8.54A
6.76V,8.47A
5.98V,9.31A
5.77V,10.59A
4.91V,10.94A
4.22V,9.77A
5.87V,8.43A
6.48V,8.53A
6.63V,9.18A
5.95V,10.24A
4.77V,10.18A
4.36V,10.42A
5.53V,8.91A
6.52V,8.64A
6.30V,8.99A
5.99V,9.51A
4.56V,10.86A
4.76V,10.27A
4.60V,9.38A
6.05V,9.02A
6.88V,8.49A
5.68V,9.36A
5.62V,10.24A
4.08V,10.60A
5.27V,9.78A
5.95V,8.70A
6.47V,8.65A
6.78V,9.48A
5.29V,10.58A
4.44V,10.51A
4.20V,10.44A
5.14V,9.48A
6.30V,8.64A
6.21V,9.19A
5.70V,10.38A
5.04V,10.17A
4.98V,10.32A
5.34V,9.23A
5.75V,8.97A
6.26V,8.71A
5.80V,9.80A
5.02V,10.56A
4.23V,10.41A
5.42V,9.31A
6.16V,8.82A
6.82V,8.45A
6.59V,9.41A
4.99V,10.69A
4.75V,10.57A
4.64V,9.63A
5.83V,9.11A
6.30V,8.71A
6.78V,9.28A
5.58V,10.46A
4.71V,10.61A
4.40V,10.34A
5.84V,8.66A
6.19V,8.52A
6.89V,8.93A
5.55V,10.08A
5.35V,10.54A
4.75V,9.81A
5.48V,9.46A
6.12V,9.09A
6.57V,8.17A
5.59V,9.08A
4.89V,10.14A
4.95V,9.93A
4.93V,9.70A
6.12V,8.97A
6.05V,8.24A
6.68V,8.94A
5.54V,10.63A
4.76V,10.69A
4.24V,9.86A
5.08V,9.40A
5.98V,8.87A
6.67V,8.63A
5.26V,9.51A
4.66V,10.17A
4.25V,10.61A
5.00V,9.51A
